Suggestion_ID, Type, Date
113, 'Suggestion de contenu basée sur les publications précédentes', '2023-06-19'
114, 'Suggestion musicale', '2022-01-24'
115, 'Suggestion de Playlist', '2022-01-22'
116, 'Suggestion amis basée sur des amis communs', '2022-07-18'
117, 'Suggestion de Playlist', '2023-07-15'
118, 'Suggestion de Groupe', '2023-01-08'
119, 'Suggestion de Contenu', '2020-05-09'
120, 'Suggestion de Groupe', '2020-06-19'
121, 'Suggestion de groupes basée sur des membres amis', '2021-04-24'
122, 'Suggestion de groupes participant à des événements', '2024-04-23'
123, 'Suggestion de playlists basée sur les habitudes écoute', '2024-04-05'
124, 'Suggestion événement/concert basée sur les préférences musicales', '2020-10-18'
125, 'Suggestion musicale', '2023-03-14'
126, 'Suggestion de Groupe', '2021-11-26'
127, 'Suggestion de groupes participant à des événements', '2022-08-06'
128, 'Suggestion Ami', '2023-05-13'
129, 'Suggestion amis en fonction des intérêts communs', '2023-11-28'
130, 'Suggestion de groupes basée sur des membres amis', '2021-03-16'
131, 'Suggestion de Groupe', '2021-09-05'
132, 'Suggestion amis basée sur des amis communs', '2022-12-04'
133, 'Suggestion Ami', '2022-12-07'
134, 'Suggestion de playlists basée sur les habitudes écoute', '2021-06-16'
135, 'Suggestion de Groupe', '2022-11-27'
136, 'Suggestion de groupes basée sur des membres amis', '2022-02-24'
137, 'Suggestion de Groupe', '2023-08-19'
138, 'Suggestion de groupes basée sur des membres amis', '2023-04-14'
139, 'Suggestion de contenu basée sur les publications précédentes', '2024-02-16'
140, 'Suggestion de groupes participant à des événements', '2023-12-02'
141, 'Suggestion musicale', '2023-12-09'
142, 'Suggestion amis basée sur des amis communs', '2022-10-21'
143, 'Suggestion événement/concert basée sur les préférences musicales', '2024-04-13'
144, 'Suggestion de contenu basée sur les publications précédentes', '2023-06-16'
145, 'Suggestion de Contenu', '2020-01-25'
146, 'Suggestion amis en fonction des intérêts communs', '2023-12-12'
147, 'Suggestion de playlists basée sur les habitudes écoute', '2022-01-12'
148, 'Suggestion de groupes participant à des événements', '2021-05-02'
149, 'Suggestion amis en fonction des intérêts communs', '2023-02-02'
150, 'Suggestion amis basée sur des amis communs', '2020-04-06'
